iid,gender,dates,match,per_match,age,imprace,imprelig,goal,date,go_out,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
382,0,19,4, 0.21 ,28,8,1,2,7,3,7,7,7,7,10
383,0,19,4, 0.21 ,27,10,5,3,6,2,7,9,7,6,6
384,0,19,7, 0.37 ,23,9,6,2,5,3,8,8,9,8,9
385,0,19,7, 0.37 ,25,5,8,2,5,3,8,8,6,8,6
386,0,19,2, 0.11 ,26,4,2,2,7,2,7,8,9,9,9
387,0,19,8, 0.42 ,25,5,2,2,7,2,8,8,8,8,8
388,0,19,1, 0.05 ,24,1,6,2,4,2,8,8,7,8,8
389,0,19,8, 0.42 ,21,1,1,2,3,1,8,10,9,7,5
390,0,19,3, 0.16 ,30,1,10,6,4,3,8,8,8,8,8
391,0,19,1, 0.05 ,28,1,5,1,4,1,8,9,9,9,7
392,0,19,2, 0.11 ,26,6,1,5,4,3,4,7,7,8,7
393,0,19,5, 0.26 ,22,4,8,1,7,1,7,9,8,8,8
394,0,19,1, 0.05 ,24,1,6,2,4,2,9,8,7,7,7
395,0,19,2, 0.11 ,33,1,2,3,4,2,8,8,7,9,7
396,0,19,2, 0.11 ,25,1,5,2,7,2,8,10,10,10,8
397,1,18,3, 0.17 ,24,3,2,2,5,2,7,7,7,10,9
398,1,18,6, 0.33 ,29,7,2,2,3,1,7,6,10,7,8
399,1,18,1, 0.06 ,29,1,1,2,4,2,9,9,9,9,9
400,1,18,6, 0.33 ,26,7,7,5,4,2,7,10,6,8,7
401,1,18,1, 0.06 ,31,1,1,2,4,1,8,5,7,10,5
402,1,18,1, 0.06 ,29,1,1,3,4,2,6,8,7,10,9
403,1,18,1, 0.06 ,22,6,6,5,5,3,4,8,7,9,9
404,1,18,9, 0.50 ,23,1,4,2,5,2,6,9,7,8,8
405,1,18,0, -   ,30,1,1,4,5,5,8,8,10,9,10
406,1,18,5, 0.28 ,27,1,1,1,6,2,6,7,8,8,9
407,1,18,2, 0.11 ,24,1,1,3,4,2,7,9,8,7,8
408,1,18,5, 0.28 ,24,1,1,2,7,1,8,7,10,8,9
409,1,18,5, 0.28 ,23,5,5,2,6,3,7,9,8,9,8
410,1,18,3, 0.17 ,27,8,8,1,5,1,7,10,6,10,10
411,1,18,1, 0.06 ,34,8,2,3,4,1,8,6,9,7,5
412,1,18,4, 0.22 ,27,1,1,1,5,2,7,7,8,8,8
413,1,18,1, 0.06 ,26,5,3,1,0,2,7,9,7,8,6
414,1,18,8, 0.44 ,29,2,10,6,1,1,0,0,0,0,0
415,1,18,1, 0.06 ,31,3,1,1,4,2,7,8,4,10,8
416,0,8,6, 0.75 ,25,3,3,6,4,1,0,0,0,0,0
417,0,8,1, 0.13 ,29,1,1,1,5,3,7,8,4,8,8
418,0,8,0, -   ,25,7,3,6,7,2,7,9,7,8,5
419,0,8,1, 0.13 ,28,0,1,4,2,1,9,8,5,9,3
420,0,8,2, 0.25 ,22,1,1,5,4,2,8,9,7,10,7
421,0,8,2, 0.25 ,25,5,5,1,4,3,7,7,6,6,6
422,1,6,4, 0.67 ,26,6,7,2,4,2,8,10,8,8,8
423,1,6,2, 0.33 ,30,1,1,2,4,1,7,9,8,9,9
424,1,6,2, 0.33 ,24,4,4,2,6,3,7,7,7,7,7
425,1,6,0, -   ,28,3,7,2,4,2,6,9,6,9,9
426,1,6,1, 0.17 ,24,4,7,2,2,1,8,8,8,10,9
427,1,6,0, -   ,28,1,1,1,7,3,7,10,8,7,9
428,1,6,2, 0.33 ,27,8,8,3,2,1,8,8,7,9,9
429,1,6,1, 0.17 ,27,1,1,2,2,2,8,8,9,9,8
430,0,14,0, -   ,22,3,10,1,6,2,5,8,8,5,8
431,0,14,2, 0.14 ,27,5,8,2,7,3,7,10,7,9,10
432,0,14,6, 0.43 ,28,1,1,4,6,3,7,8,8,8,8
433,0,14,2, 0.14 ,30,3,3,2,6,3,8,6,7,8,5
434,0,14,1, 0.07 ,27,2,2,1,4,2,7,7,8,6,4
435,0,14,3, 0.21 ,22,1,1,1,7,2,7,9,9,9,9
436,0,14,2, 0.14 ,23,9,1,1,6,1,9,8,10,7,6
437,0,14,3, 0.21 ,23,2,6,1,4,1,7,9,9,9,8
438,0,14,2, 0.14 ,23,1,5,1,4,1,7,8,7,7,7
439,0,14,3, 0.21 ,29,1,5,2,3,2,8,8,7,7,7
440,1,10,0, -   ,21,8,2,1,7,2,8,8,9,9,9
441,1,10,2, 0.20 ,24,4,2,2,7,1,8,7,8,9,8
442,1,10,4, 0.40 ,25,1,1,4,6,1,7,9,8,8,9
443,1,10,0, -   ,27,1,3,2,6,2,7,10,9,7,7
444,1,10,0, -   ,26,5,1,2,4,2,8,7,9,8,7
445,1,10,2, 0.20 ,30,1,1,2,5,2,9,8,7,10,7
446,1,10,4, 0.40 ,28,2,2,1,4,3,6,8,9,7,5
447,1,10,1, 0.10 ,26,1,1,1,7,2,6,10,6,7,4
448,1,10,5, 0.50 ,22,1,1,1,2,1,8,9,8,9,10
449,1,10,2, 0.20 ,23,7,1,1,3,1,7,10,10,10,8
450,1,10,2, 0.20 ,25,3,7,2,6,2,9,6,7,10,10
451,1,10,0, -   ,30,3,1,2,3,3,2,4,4,4,4
452,1,10,1, 0.10 ,29,7,1,1,5,3,7,8,7,10,8
453,1,10,1, 0.10 ,27,4,3,2,6,5,5,6,7,8,5
454,0,6,0, -   ,27,3,3,2,7,3,8,9,9,9,7
455,0,6,0, -   ,24,5,5,1,6,2,7,9,9,8,8
456,0,6,1, 0.17 ,29,3,2,2,6,1,8,8,6,7,7
457,0,6,0, -   ,55,1,1,6,7,3,7,6,7,8,3
458,0,6,2, 0.33 ,29,9,8,1,4,1,10,10,9,10,10
459,0,6,0, -   ,26,6,1,1,5,3,5,5,5,5,8
460,1,6,1, 0.17 ,33,2,1,1,4,2,8,8,7,9,7
461,1,6,0, -   ,27,2,2,1,7,4,6,8,9,8,7
462,1,6,1, 0.17 ,33,1,5,4,6,6,4,9,6,8,2
463,1,6,0, -   ,23,3,2,2,7,1,6,7,7,8,7
464,1,6,1, 0.17 ,33,1,1,1,3,1,5,8,8,9,10
465,1,6,0, -   ,23,1,3,6,7,3,7,10,8,7,5
466,0,15,0, -   ,24,1,1,6,7,1,7,9,7,8,8
467,0,15,7, 0.47 ,24,7,4,6,2,1,8,8,8,8,8
468,0,15,3, 0.20 ,25,5,2,1,6,3,8,9,6,8,8
469,0,15,5, 0.33 ,25,1,1,2,3,1,8,8,8,6,6
470,0,15,5, 0.33 ,29,1,1,1,4,2,4,9,5,8,6
471,0,15,1, 0.07 ,30,8,8,2,5,3,7,8,8,9,9
472,0,15,2, 0.13 ,25,1,3,2,4,2,8,10,10,8,9
473,0,15,1, 0.07 ,34,1,1,2,6,4,7,9,8,10,7
474,0,15,4, 0.27 ,30,1,1,1,6,5,9,9,10,8,7
475,0,15,2, 0.13 ,27,1,2,1,6,2,5,8,5,7,7
476,0,15,2, 0.13 ,25,1,3,5,5,2,7,9,5,7,6
477,0,15,0, -   ,27,5,7,1,4,2,6,8,7,7,7
478,0,15,2, 0.13 ,26,4,4,1,4,1,7,8,9,8,7
479,0,15,0, -   ,27,3,3,1,4,3,8,8,8,8,8
480,0,15,3, 0.20 ,26,4,6,1,4,1,8,9,10,8,7
481,1,15,1, 0.07 ,23,8,1,2,3,2,8,7,8,9,5
482,1,15,4, 0.27 ,30,2,6,2,6,1,7,10,9,8,8
483,1,15,0, -   ,28,1,1,6,3,1,8,10,10,10,10
484,1,15,2, 0.13 ,31,1,1,1,6,4,4,8,2,9,9
485,1,15,2, 0.13 ,29,4,3,2,6,2,8,8,7,8,7
486,1,15,1, 0.07 ,32,1,1,3,6,2,7,10,8,9,9
487,1,15,0, -   ,24,1,1,1,5,3,7,9,6,8,5
488,1,15,2, 0.13 ,29,1,1,3,2,3,5,10,7,10,8
489,1,15,8, 0.53 ,28,6,5,3,2,1,6,8,8,9,10
490,1,15,1, 0.07 ,29,6,1,2,6,3,3,7,6,8,6
491,1,15,4, 0.27 ,29,3,3,2,4,1,7,7,7,7,7
492,1,15,7, 0.47 ,30,1,1,2,4,2,10,10,10,10,10
493,1,15,1, 0.07 ,20,1,1,5,6,5,7,7,8,8,8
494,1,15,2, 0.13 ,30,2,8,4,3,3,9,10,10,10,7
495,1,15,2, 0.13 ,32,5,6,2,2,1,7,7,7,8,9
496,0,7,1, 0.14 ,23,1,1,1,5,2,5,8,6,9,8
497,0,7,0, -   ,24,5,5,1,7,1,8,10,10,9,8
498,0,7,0, -   ,25,9,9,1,4,1,8,9,10,9,10
499,0,7,2, 0.29 ,26,1,9,5,4,1,9,10,9,10,4
500,0,7,1, 0.14 ,25,7,9,1,5,3,8,9,9,9,9
501,0,7,1, 0.14 ,26,7,4,5,4,3,8,9,8,9,9
502,1,6,0, -   ,26,1,1,1,3,2,7,7,9,9,9
503,1,6,0, -   ,25,1,5,5,6,5,7,9,4,10,5
504,1,6,2, 0.33 ,23,1,1,2,5,2,7,5,6,8,8
505,1,6,1, 0.17 ,27,1,1,3,4,1,9,10,8,10,10
506,1,6,0, -   ,24,5,5,1,7,2,5,8,7,9,10
507,1,6,1, 0.17 ,24,1,1,5,7,3,7,8,7,8,7
508,1,6,1, 0.17 ,36,1,5,3,5,1,7,8,8,9,8
509,0,22,6, 0.27 ,28,2,2,2,4,2,5,6,4,8,9
510,0,22,7, 0.32 ,26,3,3,2,7,2,7,9,6,8,4
511,0,22,4, 0.18 ,23,2,2,2,7,3,8,4,10,8,8
512,0,22,1, 0.05 ,0,1,1,1,3,2,7,8,8,7,7
513,0,22,6, 0.27 ,23,1,1,2,6,4,6,8,7,6,4
514,0,22,0, -   ,23,8,9,2,4,3,8,10,8,9,7
515,0,22,2, 0.09 ,23,8,5,1,6,3,8,10,8,10,8
516,0,22,6, 0.27 ,27,9,3,2,6,3,8,9,9,8,8
517,0,22,0, -   ,30,1,1,5,5,3,8,9,7,9,7
518,0,22,6, 0.27 ,23,2,1,5,7,2,6,9,8,8,7
519,0,22,0, -   ,26,8,9,2,4,2,8,10,9,9,10
520,0,22,0, -   ,28,2,1,1,7,1,8,9,7,8,5
521,0,22,7, 0.32 ,26,3,1,1,3,1,7,9,9,8,8
522,0,22,5, 0.23 ,22,3,6,1,6,2,7,7,7,9,8
523,0,22,2, 0.09 ,27,3,2,2,4,3,6,9,8,9,6
524,0,22,14, 0.64 ,25,9,6,2,7,4,5,9,7,8,7
525,0,22,0, -   ,24,2,8,2,4,1,6,10,8,10,9
526,0,22,2, 0.09 ,26,5,2,1,5,3,3,6,9,7,10
527,0,22,0, -   ,24,5,5,1,4,3,10,10,10,10,10
528,0,22,0, -   ,29,8,7,2,6,1,9,6,8,8,8
529,0,22,2, 0.09 ,22,4,1,2,4,1,6,10,9,7,5
530,0,22,2, 0.09 ,22,1,1,2,7,3,3,9,9,9,7
531,1,22,1, 0.05 ,25,5,1,2,7,2,10,10,6,10,10
532,1,22,3, 0.14 ,26,8,3,1,2,2,7,9,7,8,8
533,1,22,2, 0.09 ,26,1,1,2,6,2,8,9,8,9,9
534,1,22,6, 0.27 ,24,1,1,3,5,6,7,9,8,9,5
535,1,22,8, 0.36 ,23,5,6,1,5,3,6,7,6,7,5
536,1,22,3, 0.14 ,29,1,1,1,5,2,7,8,8,8,8
537,1,22,2, 0.09 ,22,7,1,1,5,1,7,9,9,9,7
538,1,22,4, 0.18 ,32,1,1,1,4,2,7,8,9,8,8
539,1,22,2, 0.09 ,22,6,6,1,4,1,8,8,9,10,10
540,1,22,1, 0.05 ,24,5,1,1,7,4,5,7,6,5,7
541,1,22,1, 0.05 ,23,2,2,3,7,3,8,9,9,9,8
542,1,22,3, 0.14 ,23,7,1,2,5,3,8,9,8,8,9
543,1,22,0, -   ,24,9,6,1,7,2,7,9,9,8,9
544,1,22,3, 0.14 ,23,3,8,1,7,3,7,10,10,9,8
545,1,22,2, 0.09 ,24,7,1,1,7,2,8,8,8,9,6
546,1,22,6, 0.27 ,30,3,4,2,4,1,9,8,10,8,7
547,1,22,3, 0.14 ,30,1,1,2,3,1,7,9,8,8,8
548,1,22,5, 0.23 ,30,8,8,1,6,1,10,10,10,10,10
549,1,22,5, 0.23 ,28,2,3,1,7,1,7,10,8,9,9
550,1,22,4, 0.18 ,30,5,6,2,4,1,7,7,7,7,7
551,1,22,2, 0.09 ,27,2,1,1,6,3,7,8,3,8,5
552,1,22,6, 0.27 ,25,1,1,1,2,1,8,7,6,7,7
